lat,lon,name,short_name
41.9533354,-87.7583844,Laramie Ave & Irving Park Rd,CHI01771
41.83920868,-87.66560986,Ashland Ave & Archer Ave,CHI00363
41.927766,-87.758544,Lockwood Ave & Wrightwood Ave,CHI00813
41.68701479467118,-87.62105227,Michigan Ave & 114th St,CHI00823
41.93258963429789,-87.66593635,Greenview Ave & Diversey Pkwy,CHI00382
41.928887,-87.658971,Racine Ave & Wrightwood Ave,CHI00506
41.886022,-87.624398,Michigan Ave & Lake St,CHI00553
41.746426,-87.683123,Western Ave & 81st St,CHI02161
41.728264268162725,-87.59729862,Greenwood Ave & 91st St,CHI00845
41.89102331025185,-87.63547987,Franklin St & Illinois St,CHI00648
41.9095,-87.78491,Narragansett Ave & North Ave,CHI01920
41.96775,-87.75259,Lavergne Ave & Lawrence Ave,CHI02002
41.900363,-87.696704,California Ave & Cortez St,CHI00700
41.804758123768394,-87.70421937,Kedzie Ave & 48th Pl,CHI01767
41.77987,-87.650919,Carpenter St & 63rd St,CHI00708
41.758361,-87.614138,Vernon Ave & 75th St,CHI00712
41.89993001,-87.63443007,Wells St & Walton St,CHI00260
42.004583,-87.661406,Sheridan Rd & Columbia Ave,CHI01050
41.736044,-87.672861,Damen Ave & 87th St,CHI01761
41.764354,-87.710121,St. Louis & 71st St,CHI01797
41.858086,-87.651073,Morgan St & 18th St,CHI00479
41.731394943302355,-87.58574367,Stony Island Ave & 90th St,CHI00850
41.871737,-87.65103,Morgan St & Polk St,CHI00372
41.887664,-87.765469,Central Ave & Lake St,CHI00539
41.85741178707404,-87.61379153,Burnham Harbor,CHI00558
41.75374,-87.70751,Homan Ave & 77th St,CHI01811
41.9382897,-87.7737692,Marmora Ave & Belmont Ave,CHI01783
41.8481,-87.715068,Central Park Ave & 24th St,CHI00658
41.823613,-87.650931,Morgan St & Pershing Rd,CHI00745
41.903266,-87.678435,Damen Ave & Division St,CHI00318
41.741192,-87.668106,Wood St & 84th St,CHI01781
41.89434513742426,-87.62279838,St. Clair St & Erie St,CHI01744
41.774074,-87.663815,Ashland Ave & 66th St,CHI00683
41.88131982,-87.62952092,Dearborn St & Monroe St,CHI00405
41.89131,-87.66398,Noble St & Potomac Ave,CHI02165
41.88576,-87.64711,Halsted St & Lake St,CHI02121
41.910044,-87.697167,California Ave & North Ave,CHI00268
41.884295,-87.633963,Wells St & Randolph St,CHI00266
41.90629,-87.67151,Wood St & Milwaukee Ave,CHI02119
41.9456842,-87.7569344,Laramie Ave & Addison St,CHI01789
41.904613,-87.640552,Clybourn Ave & Division St,CHI00344
41.89637337,-87.66098386,Eckhart Park,CHI00349
41.805772,-87.592464,Dorchester Ave & 49th St,CHI00527
41.94894,-87.80683,Harlem Ave & Grace St,CHI00865
41.93939395344302,-87.71206766,Kimball Ave & Belmont Ave,CHI00577
41.87501,-87.67328,Ogden Ave & Congress Pkwy,CHI00305
41.85491457576575,-87.66355991,Laflin St & Cullerton St,CHI00352
41.95261,-87.78535,Merrimac Park,CHI00814
42.03463185161588,-87.6991877,Dodge Ave & Main St,CHI02044
41.792822,-87.664429,Ashland Ave & Garfield Blvd,CHI00681
41.91552,-87.687022,Western Ave & Winnebago Ave,CHI00282
41.766,-87.611726,Rhodes Ave & 71st St,CHI00789
41.997032,-87.73837,Kostner Ave & Devon Ave,CHI02150
41.750843,-87.682701,Western Ave & 79th St,CHI01803
42.058239,-87.677432,Sheridan Rd & Noyes St (NU),CHI01114
41.95453,-87.67071,Ashland Ave & Belle Plaine Ave,CHI00380
